datetime_utc_from;consumption_MWh;spot_ch_eurpmwh;temperature_celsius;global_radiation_J
2023-01-06T13:00Z;58.737878;119.880000;9.300000;964422.000000
2023-01-06T14:00Z;57.800052;126.220000;9.300000;535182.000000
2023-01-06T15:00Z;56.729520;137.550000;9.300000;362392.100000
2023-01-06T16:00Z;54.867999;147.990000;8.200000;56344.500000
2023-01-06T17:00Z;51.052638;154.930000;7.000000;0.000000
2023-01-06T18:00Z;47.271656;163.220000;6.200000;0.000000
2023-01-06T19:00Z;44.673074;159.890000;5.700000;0.000000
2023-01-06T20:00Z;43.431407;150.620000;5.100000;0.000000
2023-01-06T21:00Z;41.401648;140.750000;4.800000;0.000000
2023-01-06T22:00Z;39.255523;139.190000;4.700000;0.000000
2023-01-06T23:00Z;38.499664;126.700000;4.300000;0.000000
2023-01-07T00:00Z;38.150455;142.680000;4.000000;0.000000
2023-01-07T01:00Z;37.776315;126.980000;3.900000;0.000000
2023-01-07T02:00Z;36.987052;121.050000;3.600000;0.000000
2023-01-07T03:00Z;36.792924;119.900000;3.500000;0.000000
2023-01-07T04:00Z;36.543679;114.690000;3.400000;0.000000
2023-01-07T05:00Z;37.392764;128.230000;3.100000;0.000000
2023-01-07T06:00Z;39.403863;132.990000;2.800000;0.000000
2023-01-07T07:00Z;40.365086;150.110000;2.900000;0.000000
2023-01-07T08:00Z;42.462063;152.260000;2.600000;64383.600000
2023-01-07T09:00Z;42.391114;140.890000;2.100000;495492.000000
2023-01-07T10:00Z;40.174869;151.290000;3.800000;905646.000000
2023-01-07T11:00Z;36.971732;151.090000;5.200000;1164000.000000
2023-01-07T12:00Z;35.860740;157.010000;6.400000;1253748.000000
2023-01-07T13:00Z;35.466997;155.080000;7.400000;1200990.000000
2023-01-07T14:00Z;35.899254;159.930000;8.200000;929136.000000
2023-01-07T15:00Z;37.209903;155.080000;8.300000;421548.000000
2023-01-07T16:00Z;38.694753;160.000000;6.800000;37800.600000
2023-01-07T17:00Z;39.044672;163.180000;5.400000;0.000000
2023-01-07T18:00Z;38.543004;164.420000;4.600000;0.000000
2023-01-07T19:00Z;37.626206;164.230000;3.900000;0.000000
2023-01-07T20:00Z;36.791551;159.130000;3.100000;0.000000
2023-01-07T21:00Z;36.516626;154.290000;2.100000;0.000000
2023-01-07T22:00Z;35.458641;156.360000;1.900000;0.000000
2023-01-07T23:00Z;36.049076;151.060000;1.600000;0.000000
2023-01-08T00:00Z;36.188064;141.590000;1.600000;0.000000
2023-01-08T01:00Z;36.345194;127.400000;1.500000;0.000000
2023-01-08T02:00Z;35.210032;113.940000;1.100000;0.000000
2023-01-08T03:00Z;35.635133;114.050000;1.100000;0.000000
2023-01-08T04:00Z;34.967830;110.000000;1.600000;0.000000
2023-01-08T05:00Z;34.733477;113.740000;1.900000;0.000000
2023-01-08T06:00Z;35.949264;118.620000;1.800000;0.000000
2023-01-08T07:00Z;36.218397;125.450000;1.800000;0.000000
2023-01-08T08:00Z;37.398732;125.490000;2.600000;26057.400000
2023-01-08T09:00Z;37.905767;143.950000;4.500000;61348.200000
2023-01-08T10:00Z;37.914041;142.500000;4.900000;106614.000000
2023-01-08T11:00Z;36.480339;141.960000;5.300000;274098.000000
2023-01-08T12:00Z;35.405077;141.140000;5.600000;312882.000000
2023-01-08T13:00Z;35.452220;127.440000;6.500000;655710.000000
2023-01-08T14:00Z;35.803724;126.620000;7.600000;803628.000000
2023-01-08T15:00Z;36.955713;133.980000;7.300000;206088.000000
2023-01-08T16:00Z;37.884876;146.080000;6.700000;39679.200000
2023-01-08T17:00Z;37.759670;158.200000;6.000000;0.000000
2023-01-08T18:00Z;37.557101;156.000000;5.700000;0.000000
2023-01-08T19:00Z;36.758254;155.200000;5.500000;0.000000
2023-01-08T20:00Z;36.254047;141.330000;5.300000;0.000000
2023-01-08T21:00Z;36.157914;143.660000;5.000000;0.000000
2023-01-08T22:00Z;36.231755;131.800000;5.200000;0.000000
2023-01-08T23:00Z;37.391755;113.300000;5.200000;0.000000
2023-01-09T00:00Z;37.442179;96.030000;5.200000;0.000000
2023-01-09T01:00Z;37.372326;77.520000;5.300000;0.000000
